Designator,Pin,PinName,Net,Category,Description
R10,1,,CELL_3+,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R10,2,,$3N123,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R11,1,,CELL_2+,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R11,2,,$3N121,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R12,1,,CELL_1+,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R12,2,,$3N94,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R13,1,,CELL_1-,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R13,2,,$3N100,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R14,1,,$3N160,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R14,2,,GND,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R15,1,,$3N161,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
R15,2,,GND,电阻,电阻类型:厚膜电阻;阻值:100kΩ;精度:±1%;功率:62.5mW;工作电压:50V;温度系数:±100ppm/℃;
C2,1,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C2,2,,$3N179,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C5,1,,$3N158,电容,容值:100pF;精度:±5%;额定电压:50V;温度系数:NP0;
C5,2,,$3N159,电容,容值:100pF;精度:±5%;额定电压:50V;温度系数:NP0;
C6,1,,$3N158,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C6,2,,$3N159,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
R16,1,,GND,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R16,2,,$3N158,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R17,1,,BMS_OUT-,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R17,2,,$3N159,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R18,1,,GND,电阻,电阻类型:合金电阻;阻值:0.5mΩ;精度:±1%;功率:6W;温度系数:±115ppm/℃;
R18,2,,BMS_OUT-,电阻,电阻类型:合金电阻;阻值:0.5mΩ;精度:±1%;功率:6W;温度系数:±115ppm/℃;
R19,1,,CELL_5+,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
R19,2,,$3N35,电阻,电阻类型:厚膜电阻;阻值:62Ω;精度:±1%;功率:1W;工作电压:200V;温度系数:±100ppm/℃;
C11,1,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C11,2,,BAT+,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C12,1,,BAT+,电容,容值:47uF;精度:±20%;额定电压:63V;纹波电流:63mA@120Hz;
C12,2,,GND,电容,容值:47uF;精度:±20%;额定电压:63V;纹波电流:63mA@120Hz;
D6,1,,BAT+,二极管,极性:单向;反向截止电压(Vrwm):33V;钳位电压:53.3V;峰值脉冲电流(Ipp):11.3A@10/1000us;峰值脉冲功率(Ppp):600W@10/1000us;击穿电压:40.6V;
D6,2,,GND,二极管,极性:单向;反向截止电压(Vrwm):33V;钳位电压:53.3V;峰值脉冲电流(Ipp):11.3A@10/1000us;峰值脉冲功率(Ppp):600W@10/1000us;击穿电压:40.6V;
C13,1,,BMS_OUT-,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
C13,2,,BMS_OUT+,电容,容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;
D9,1,,BMS_OUT+,二极管,二极管配置:1个独立式;正向压降(Vf):1.28V@4A;直流反向耐压(Vr):600V;整流电流:4A;反向恢复时间(Trr):50ns;
D9,2,,BMS_OUT-,二极管,二极管配置:1个独立式;正向压降(Vf):1.28V@4A;直流反向耐压(Vr):600V;整流电流:4A;反向恢复时间(Trr):50ns;
R20,1,,$3N163,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
